Tue May 19 19:40:51 2026    profile

         3485717 function calls (3017295 primitive calls) in 111.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      981    0.002    0.000    0.002    0.000 /usr/lib/python3.10/threading.py:359(notify)
      981    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:249(data)
        1    0.000    0.000    0.002    0.002 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:28(__import_type_support__)
     1962    0.001    0.000    0.002    0.000 /usr/lib/python3.10/threading.py:267(__exit__)
      981    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/callback_groups.py:106(beginning_execution)
        1    0.000    0.000    0.002    0.002 /usr/lib/python3/dist-packages/em.py:1(<module>)
     7490    0.002    0.000    0.002    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_jit_internal.py:104(is_scripting)
    17648    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
10121/10103    0.002    0.000    0.002    0.000 {built-in method builtins.len}
      236    0.000    0.000    0.002    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:849(_get_device_index)
    17804    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
     2943    0.001    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_header.py:143(frame_id)
     1962    0.001    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:176(height)
     7867    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
      981    0.002    0.000    0.002    0.000 {method 'transpose' of 'numpy.ndarray' objects}
       59    0.000    0.000    0.002    0.000 /usr/lib/python3.10/typing.py:1016(__init__)
      981    0.001    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:170(_set_executor)
     7876    0.002    0.000    0.002    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:260(waitables)
     3938    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:235(subscriptions)
    12805    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
      118    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:217(_restore_device_fake_mode)
       18    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/batchnorm.py:117(_load_from_state_dict)
      985    0.001    0.000    0.001    0.000 /usr/lib/python3.10/contextlib.py:452(__init__)
     1962    0.001    0.000    0.001    0.000 /usr/lib/python3.10/functools.py:421(_unwrap_partial)
     1962    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:234(step)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/lark/visitors.py:550(_visitor_args_dec)
        4    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/lark/visitors.py:444(_apply_v_args)
     5910    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/guard_condition.py:36(handle)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/lark/visitors.py:46(_apply_v_args)
     1747    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x5c67ea78c9a0}
        1    0.000    0.000    0.001    0.001 /home/will/.local/lib/python3.10/site-packages/torch/utils/serialization/__init__.py:1(<module>)
     1962    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:219(is_bigendian)
      182    0.001    0.000    0.001    0.000 {built-in method torch.empty}
     1962    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:191(width)
     3924    0.001    0.000    0.001    0.000 {built-in method torch._C._get_deterministic_algorithms}
      118    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:823(_get_current_device_index)
      981    0.001    0.000    0.001    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
       21    0.001    0.000    0.001    0.000 /usr/lib/python3.10/inspect.py:444(getmembers)
      118    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:193(_rebuild_tensor)
      118    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:807(_get_device_attr)
     1962    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:206(encoding)
        1    0.000    0.000    0.001    0.001 /home/will/.local/lib/python3.10/site-packages/torch/utils/serialization/config.py:1(<module>)
        6    0.000    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/type_support.py:50(check_is_valid_srv_type)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3/dist-packages/lark/visitors.py:50(<setcomp>)
    12805    0.001    0.000    0.001    0.000 {method 'pop' of 'collections.deque' objects}
    30/19    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:401(__getitem__)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/lark/lexer.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/will/.local/lib/python3.10/site-packages/torch/utils/_config_module.py:172(install_config_module)
      981    0.001    0.000    0.001    0.000 /usr/lib/python3.10/inspect.py:344(iscoroutine)
     1962    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:70(_pending)
       10    0.000    0.000    0.001    0.000 /usr/lib/python3.10/re.py:288(_compile)
      615    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      226    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      354    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_pytree.py:1521(tree_leaves)
     1962    0.001    0.000    0.001    0.000 {method '__enter__' of '_thread.RLock' objects}
      249    0.001    0.000    0.001    0.000 {built-in method posix.stat}
     1969    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:250(timers)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/lark/utils.py:1(<module>)
      981    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:91(done)
      981    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.10/sre_compile.py:783(compile)
     1969    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:255(guards)
       17    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:483(Union)
        1    0.000    0.000    0.001    0.001 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/impl/rcutils_logger.py:327(info)
        1    0.000    0.000    0.001    0.001 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/impl/rcutils_logger.py:241(log)
      239    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:164(_nvml_based_avail)
        1    0.000    0.000    0.001    0.001 /home/will/.local/lib/python3.10/site-packages/torch/utils/_config_module.py:253(get_assignments_with_compile_ignored_comments)
     2148    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
  121/119    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:463(_lazy_init)
       36    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1070(get_data)
     1969    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:240(clients)
       95    0.001    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:482(__init__)
      118    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:790(_get_available_device_type)
       21    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1138(__getitem__)
        9    0.000    0.000    0.001    0.000 /usr/lib/python3.10/re.py:249(compile)
       28    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:1147(copy_with)
      982    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:203(context)
        1    0.000    0.000    0.001    0.001 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/impl/rcutils_logger.py:57(__new__)
      241    0.000    0.000    0.001    0.000 /usr/lib/python3.10/os.py:772(getenv)
      982    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/publisher.py:86(handle)
       35    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      985    0.001    0.000    0.001    0.000 {built-in method sys.exc_info}
       18    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/batchnorm.py:99(reset_parameters)
      980    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:55(__del__)
      981    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_bool.py:70(<genexpr>)
      485    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:986(__setattr__)
        1    0.000    0.000    0.001    0.001 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/impl/rcutils_logger.py:31(_find_caller)
      981    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:153(__init__)
     1962    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_header.py:77(<genexpr>)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/lark/parsers/earley.py:1(<module>)
      981    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:112(exception)
      118    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_tensor.py:317(_typed_storage)
      708    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_pytree.py:1504(tree_iter)
       65    0.000    0.000    0.001    0.000 /home/will/.local/lib/python3.10/site-packages/typing_extensions.py:3178(_collect_type_vars)
      243    0.000    0.000    0.001    0.000 /usr/lib/python3.10/_collections_abc.py:821(get)
       11    0.000    0.000    0.001    0.000 /usr/lib/python3.10/typing.py:523(Optional)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3/dist-packages/lark/parsers/lalr_parser.py:1(<module>)
     2947    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/builtin_interfaces/msg/_time.py:73(<genexpr>)
     2950    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
     2943    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:244(data)
     1976    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/context.py:42(handle)
        1    0.000    0.000    0.001    0.001 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/time_source.py:32(__init__)
      981    0.001    0.000    0.001    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:95(<genexpr>)
        1    0.000    0.000    0.001    0.001 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/time_source.py:73(attach_node)
       26    0.000    0.000    0.001    0.000 /usr/lib/python3.10/abc.py:105(__new__)
      131    0.000    0.000    0.001    0.000 /usr/lib/python3.10/tokenize.py:431(_tokenize)
        1    0.000    0.000    0.001    0.001 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:339(declare_parameter)
     7838    0.001    0.000    0.001    0.000 {method 'read' of '_io.BytesIO' objects}
       62    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      981    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_bool.py:113(data)
      354    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_pytree.py:1086(tree_is_leaf)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_header.py:25(__import_type_support__)
      615    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      981    0.000    0.000    0.000    0.000 {built-in method numpy.ascontiguousarray}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/exceptions.py:1(<module>)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
       98    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:146(_type_check)
      982    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/utilities.py:118(timeout_sec_to_nsec)
      981    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
      981    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:201(encoding)
      118    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:612(__init__)
       94    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:2600(<dictcomp>)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:369(declare_parameters)
      243    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:675(__getitem__)
     3668    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:944(parse)
     1962    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:214(is_bigendian)
       59    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:947(__init__)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:690(_set_parameters)
      354    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_python_dispatch.py:338(_get_current_dispatch_mode_stack)
       36    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:1837(_register_triton_kernels)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:791(_set_parameters_atomically)
     1962    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:171(height)
      118    0.000    0.000    0.000    0.000 {method 'set_' of 'torch._C.TensorBase' objects}
      981    0.000    0.000    0.000    0.000 {method '_is_owned' of '_thread.RLock' objects}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:622(_code)
      7/5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:436(_parse_sub)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/tree.py:1(<module>)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:391(cached)
       82    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:592(register_parameter)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/load_grammar.py:1078(GrammarBuilder)
       13    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/container.py:115(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:389(realpath)
     10/8    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_parse.py:494(_parse)
     1966    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:520(<lambda>)
      354    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_pytree.py:1074(_get_node_type)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/lib/python3.10/site-packages/ament_index_python/packages.py:65(get_package_share_directory)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:932(findsource)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:1604(getframeinfo)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       18    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/activation.py:135(__init__)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/builtin_interfaces/msg/_time.py:25(__import_type_support__)
      485    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:935(_is_dunder)
      118    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:825(<lambda>)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/lib/python3.10/site-packages/ament_index_python/packages.py:39(get_package_prefix)
      236    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/storage.py:789(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/em.py:1998(Interpreter)
       68    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       64    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/parameter.py:51(__new__)
      354    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_guards.py:1057(try_get)
      981    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:186(width)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/posixpath.py:398(_joinrealpath)
      981    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:229(step)
       10    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1194(__getitem__)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1223(__getitem__)
       54    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/srv/_describe_parameters.py:280(__import_type_support__)
      236    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/storage.py:697(__new__)
      118    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:1165(current_device)
      985    0.000    0.000    0.000    0.000 /usr/lib/python3.10/contextlib.py:530(__enter__)
     86/5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/abc.py:121(__subclasscheck__)
     86/5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       64    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/exceptions.py:37(UnexpectedInput)
     1700    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1208(__getitem_inner__)
       18    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/batchnorm.py:91(reset_running_stats)
       54    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:528(register_buffer)
     18/5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:87(_compile)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/lark.py:45(LarkOptions)
       18    0.000    0.000    0.000    0.000 {built-in method torch.tensor}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/load_grammar.py:675(Grammar)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/em.py:2940(Processor)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/grammar.py:1(<module>)
       18    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/init.py:355(ones_)
      418    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_python_dispatch.py:515(is_traceable_wrapper_subclass)
      354    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_pytree.py:718(is_namedtuple_class)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      981    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/re.py:192(fullmatch)
       18    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/init.py:163(_no_grad_fill_)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1094(_cache_bytecode)
       62    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:642(add_module)
       72    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1188(copy_with)
       32    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/importlib/util.py:73(find_spec)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/parsers/earley_forest.py:1(<module>)
       18    0.000    0.000    0.000    0.000 {built-in method torch.ones}
        2    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/__init__.py:2861(registerOp)
       64    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:937(compute_should_use_set_data)
      116    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/typing_extensions.py:3165(_is_unpacked_typevartuple)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1323(__class_getitem__)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      243    0.000    0.000    0.000    0.000 /usr/lib/python3.10/os.py:755(encode)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/srv/_list_parameters.py:304(__import_type_support__)
      118    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:909(_element_size)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/srv/_describe_parameters.py:158(__import_type_support__)
      3/1    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/utils/_config_module.py:183(visit)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/srv/_set_parameters.py:285(__import_type_support__)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:100(acquire)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/linecache.py:36(getlines)
       96    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:125(release)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      285    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_weights_only_unpickler.py:572(pop_mark)
      623    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        4    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/pooling.py:55(__init__)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.10/linecache.py:80(updatecache)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1099(set_data)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      114    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:137(_type_convert)
       52    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:515(<genexpr>)
       23    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/init.py:543(_calculate_correct_fan)
       36    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       65    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/typing_extensions.py:3143(_has_generic_or_protocol_as_origin)
        1    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:806(__init__)
       18    0.000    0.000    0.000    0.000 {built-in method torch.zeros}
        1    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_weights_only_unpickler.py:173(_get_allowed_globals)
       21    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
       18    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/init.py:368(zeros_)
       11    0.000    0.000    0.000    0.000 /usr/lib/python3.10/inspect.py:813(getsourcefile)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
        1    0.000    0.000    0.000    0.000 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/unet/unet_parts.py:94(__init__)
      361    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:159(_is_compiled)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/srv/_set_parameters_atomically.py:276(__import_type_support__)
      123    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
      118    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:619(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_init}
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/srv/_get_parameters.py:280(__import_type_support__)
       23    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1350(__init_subclass__)
       28    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/init.py:458(_calculate_fan_in_and_fan_out)
       18    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/init.py:168(_no_grad_zero_)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/parameter.py:176(to_parameter_msg)
      116    0.000    0.000    0.000    0.000 /usr/lib/python3.10/typing.py:1902(get_origin)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/srv/_get_parameter_types.py:283(__import_type_support__)
        2    0.000    0.000    0.000    0.000 /home/will/.local/lib/python3.10/site-packages/torch/library.py:127(define)
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:560(_compile_info)
        1    0.000    0.000    0.000    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/msg/_parameter_descriptor.py:25(__import_type_support__)
       36    0.000    0.000    0.000    0.000 {method 'fill_' of 'torch._C.TensorBase' objects}
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.10/sre_compile.py:292(_optimize_charset)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
       91    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3/dist-packages/lark/common.py:1(<module>)
