Tue May 19 19:40:51 2026    profile

         3485717 function calls (3017295 primitive calls) in 111.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.134    0.134 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/unet/unet_model.py:29(__init__)
     3924    0.011    0.000    0.130    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/functional.py:5374(pad)
       23    0.000    0.000    0.129    0.006 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/conv.py:87(__init__)
       23    0.000    0.000    0.127    0.006 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/conv.py:182(reset_parameters)
       23    0.000    0.000    0.126    0.005 /home/will/.local/lib/python3.10/site-packages/torch/nn/init.py:554(kaiming_uniform_)
        1    0.000    0.000    0.126    0.126 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:1254(to)
     95/1    0.007    0.000    0.126    0.126 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:930(_apply)
       28    0.126    0.004    0.126    0.004 {method 'uniform_' of 'torch._C.TensorBase' objects}
        9    0.000    0.000    0.122    0.014 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/unet/unet_parts.py:33(__init__)
       19    0.000    0.000    0.118    0.006 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/conv.py:512(__init__)
      118    0.000    0.000    0.118    0.001 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:1360(convert)
     3924    0.114    0.000    0.114    0.000 {built-in method torch._C._nn.pad}
   165193    0.111    0.000    0.111    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:1954(__getattr__)
      981    0.002    0.000    0.111    0.000 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/unet/unet_parts.py:98(forward)
   185598    0.087    0.000    0.103    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/module.py:2785(named_children)
     3924    0.008    0.000    0.086    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/pooling.py:222(forward)
        1    0.000    0.000    0.085    0.085 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:1316(load)
        1    0.000    0.000    0.083    0.083 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:1945(_load)
        1    0.011    0.011    0.083    0.083 /home/will/.local/lib/python3.10/site-packages/torch/_weights_only_unpickler.py:315(load)
        4    0.000    0.000    0.082    0.021 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/unet/unet_parts.py:53(__init__)
     3924    0.006    0.000    0.078    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_jit_internal.py:627(fn)
    93615    0.053    0.000    0.074    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/parameter.py:21(__instancecheck__)
     3924    0.004    0.000    0.072    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/functional.py:812(_max_pool2d)
     3924    0.071    0.000    0.071    0.000 {built-in method torch.cat}
      982    0.070    0.000    0.071    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/publisher.py:60(publish)
      118    0.002    0.000    0.068    0.001 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:2132(persistent_load)
     3924    0.067    0.000    0.067    0.000 {built-in method torch.max_pool2d}
    93583    0.047    0.000    0.066    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/parameter.py:240(__instancecheck__)
      118    0.044    0.000    0.066    0.001 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:2062(load_tensor)
    93195    0.059    0.000    0.059    0.000 {built-in method torch._C._get_tracing_state}
      981    0.017    0.000    0.052    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/sensor_msgs/msg/_image.py:94(__init__)
   299137    0.050    0.000    0.050    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.049    0.012 /home/will/ROS2-workspaces/rt_segmentation_ws/install/vision/lib/python3.10/site-packages/vision/unet/unet_parts.py:67(__init__)
      981    0.025    0.000    0.046    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/cv_bridge/core.py:147(imgmsg_to_cv2)
      239    0.000    0.000    0.042    0.000 /home/will/.local/lib/python3.10/site-packages/torch/cuda/__init__.py:168(is_available)
      244    0.041    0.000    0.041    0.000 {built-in method torch._C._cuda_getDeviceCount}
    12805    0.013    0.000    0.036    0.000 /usr/lib/python3.10/contextlib.py:482(enter_context)
        1    0.006    0.006    0.035    0.035 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:116(__init__)
     1962    0.010    0.000    0.030    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_header.py:76(__init__)
    65/32    0.000    0.000    0.029    0.001 <frozen importlib._bootstrap>:1022(_find_and_load)
     39/6    0.000    0.000    0.028    0.005 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
        9    0.000    0.000    0.028    0.003 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/type_support.py:18(check_for_type_support)
     35/6    0.000    0.000    0.028    0.005 <frozen importlib._bootstrap>:664(_load_unlocked)
    49/11    0.000    0.000    0.027    0.002 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      981    0.005    0.000    0.027    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:450(_make_handler)
        3    0.000    0.000    0.027    0.009 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/type_support.py:34(check_is_valid_msg_type)
        2    0.001    0.000    0.026    0.013 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/node.py:1248(create_publisher)
      981    0.025    0.000    0.025    0.000 {built-in method torch.from_numpy}
     4982    0.005    0.000    0.025    0.000 {method 'extend' of 'list' objects}
     31/2    0.000    0.000    0.025    0.013 <frozen importlib._bootstrap_external>:877(exec_module)
        1    0.000    0.000    0.025    0.025 /opt/ros/humble/local/lib/python3.10/dist-packages/rcl_interfaces/msg/_parameter_event.py:25(__import_type_support__)
        1    0.000    0.000    0.023    0.023 /opt/ros/humble/local/lib/python3.10/dist-packages/rosidl_generator_py/__init__.py:1(<module>)
      981    0.021    0.000    0.021    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
      981    0.005    0.000    0.021    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:215(__init__)
        1    0.000    0.000    0.021    0.021 /opt/ros/humble/local/lib/python3.10/dist-packages/rosidl_generator_py/generate_py_impl.py:1(<module>)
        1    0.000    0.000    0.020    0.020 /opt/ros/humble/local/lib/python3.10/dist-packages/rosidl_cmake/__init__.py:1(<module>)
     1962    0.002    0.000    0.019    0.000 /usr/lib/python3.10/inspect.py:308(iscoroutinefunction)
      118    0.000    0.000    0.019    0.000 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:1919(restore_location)
      118    0.000    0.000    0.019    0.000 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:713(default_restore_location)
     3924    0.003    0.000    0.019    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/conv.py:778(_output_padding)
      118    0.000    0.000    0.019    0.000 /home/will/.local/lib/python3.10/site-packages/torch/serialization.py:661(_deserialize)
    12805    0.007    0.000    0.019    0.000 /usr/lib/python3.10/contextlib.py:509(_push_cm_exit)
    17658    0.011    0.000    0.018    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/batchnorm.py:494(_check_input_dim)
      981    0.002    0.000    0.018    0.000 {method 'any' of 'numpy.ndarray' objects}
    12753    0.012    0.000    0.017    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/container.py:240(__iter__)
     9850    0.007    0.000    0.017    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:507(can_execute)
     1962    0.009    0.000    0.017    0.000 /usr/lib/python3.10/inspect.py:290(_has_code_flag)
      985    0.013    0.000    0.017    0.000 /usr/lib/python3.10/contextlib.py:533(__exit__)
      981    0.017    0.000    0.017    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
      981    0.001    0.000    0.016    0.000 /home/will/.local/lib/python3.10/site-packages/numpy/core/_methods.py:55(_any)
      981    0.002    0.000    0.016    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/cv_bridge/core.py:103(encoding_to_dtype_with_channels)
     4039    0.005    0.000    0.016    0.000 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/utils.py:11(parse)
      118    0.000    0.000    0.016    0.000 /home/will/.local/lib/python3.10/site-packages/torch/storage.py:286(to)
      118    0.002    0.000    0.015    0.000 /home/will/.local/lib/python3.10/site-packages/torch/_utils.py:62(_to)
     1250    0.006    0.000    0.015    0.000 /home/will/.local/lib/python3.10/site-packages/torch/autograd/grad_mode.py:84(__exit__)
     2955    0.010    0.000    0.015    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/waitable.py:37(__add__)
      981    0.015    0.000    0.015    0.000 {method 'reduce' of 'numpy.ufunc' objects}
